INFO 2022-08-29 15:52:43,211 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 15:52:49,527 basehttp 187 "GET / HTTP/1.1" 200 9734
INFO 2022-08-29 15:54:10,408 autoreload 266 D:\Users\18203\Desktop\work\blogproject\blog\views.py changed, reloading.
INFO 2022-08-29 15:54:11,089 autoreload 677 Watching for file changes with StatReloader
INFO 2022-08-29 16:02:14,752 basehttp 187 "GET / HTTP/1.1" 200 9740
INFO 2022-08-29 16:02:17,199 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 15327
WARNING 2022-08-29 16:02:17,511 log 241 Not Found: /posts/2/js/pace.min.js
WARNING 2022-08-29 16:02:17,512 log 241 Not Found: /posts/2/js/jquery-2.1.3.min.js
WARNING 2022-08-29 16:02:17,513 log 241 Not Found: /posts/2/css/bootstrap.min.css
WARNING 2022-08-29 16:02:17,514 log 241 Not Found: /posts/2/js/bootstrap.min.js
WARNING 2022-08-29 16:02:17,515 log 241 Not Found: /posts/2/css/pace.css
WARNING 2022-08-29 16:02:17,516 log 241 Not Found: /posts/2/css/custom.css
WARNING 2022-08-29 16:02:17,517 basehttp 187 "GET /posts/2/js/jquery-2.1.3.min.js HTTP/1.1" 404 2516
WARNING 2022-08-29 16:02:17,517 basehttp 187 "GET /posts/2/js/pace.min.js HTTP/1.1" 404 2492
WARNING 2022-08-29 16:02:17,518 basehttp 187 "GET /posts/2/css/bootstrap.min.css HTTP/1.1" 404 2513
WARNING 2022-08-29 16:02:17,518 basehttp 187 "GET /posts/2/js/bootstrap.min.js HTTP/1.1" 404 2507
WARNING 2022-08-29 16:02:17,519 basehttp 187 "GET /posts/2/css/pace.css HTTP/1.1" 404 2486
WARNING 2022-08-29 16:02:17,520 basehttp 187 "GET /posts/2/css/custom.css HTTP/1.1" 404 2492
WARNING 2022-08-29 16:02:17,529 log 241 Not Found: /posts/2/js/modernizr.custom.js
WARNING 2022-08-29 16:02:17,530 log 241 Not Found: /posts/2/js/script.js
WARNING 2022-08-29 16:02:17,530 basehttp 187 "GET /posts/2/js/modernizr.custom.js HTTP/1.1" 404 2516
WARNING 2022-08-29 16:02:17,530 basehttp 187 "GET /posts/2/js/script.js HTTP/1.1" 404 2486
INFO 2022-08-29 16:02:25,839 basehttp 187 "GET /posts/2/ HTTP/1.1" 200 15327
WARNING 2022-08-29 16:02:25,896 log 241 Not Found: /posts/2/js/jquery-2.1.3.min.js
WARNING 2022-08-29 16:02:25,897 log 241 Not Found: /posts/2/css/bootstrap.min.css
WARNING 2022-08-29 16:02:25,898 log 241 Not Found: /posts/2/css/pace.css
WARNING 2022-08-29 16:02:25,900 log 241 Not Found: /posts/2/css/custom.css
WARNING 2022-08-29 16:02:25,900 basehttp 187 "GET /posts/2/js/jquery-2.1.3.min.js HTTP/1.1" 404 2516
WARNING 2022-08-29 16:02:25,901 log 241 Not Found: /posts/2/js/pace.min.js
WARNING 2022-08-29 16:02:25,902 log 241 Not Found: /posts/2/js/bootstrap.min.js
WARNING 2022-08-29 16:02:25,903 basehttp 187 "GET /posts/2/css/bootstrap.min.css HTTP/1.1" 404 2513
WARNING 2022-08-29 16:02:25,904 basehttp 187 "GET /posts/2/css/custom.css HTTP/1.1" 404 2492
WARNING 2022-08-29 16:02:25,905 basehttp 187 "GET /posts/2/css/pace.css HTTP/1.1" 404 2486
